crime_type,date_time,location_name,latitude,longitude,description
theft,2024-01-05 10:30:00,MG Road Indore,22.7196,75.8577,Mobile phone snatched near market
assault,2024-01-12 20:15:00,Vijay Nagar Indore,22.7533,75.8937,Fight reported outside restaurant
robbery,2024-02-03 23:00:00,Palasia Indore,22.7226,75.8762,Armed robbery at petrol pump
fraud,2024-02-18 14:00:00,Rajwada Indore,22.7198,75.8545,Online fraud case reported
theft,2024-03-07 09:45:00,Bhopal Railway Station,23.2616,77.4126,Luggage stolen at platform 2
drug_offense,2024-03-15 03:30:00,Arera Colony Bhopal,23.2100,77.4400,Drug peddlers caught
vandalism,2024-04-01 18:00:00,New Market Bhopal,23.2300,77.4200,Public property damaged
assault,2024-04-20 22:30:00,Jabalpur Civil Lines,23.1815,79.9864,Street brawl reported
murder,2024-05-10 01:00:00,Gwalior City Center,26.2183,78.1828,Body found near canal
theft,2024-05-22 16:15:00,Ujjain Freeganj,23.1828,75.7682,Wallet stolen in crowded area
robbery,2024-06-03 21:00:00,Ratlam Station Road,23.3315,75.0367,Chain snatching incident
fraud,2024-06-18 11:30:00,Sagar Main Market,23.8388,78.7378,Fake currency case
vandalism,2024-07-04 20:00:00,Satna Bus Stand,24.6005,80.8322,Bus shelter damaged
drug_offense,2024-07-19 04:00:00,Rewa City,24.5362,81.3037,Contraband seized
assault,2024-08-08 19:45:00,Chhindwara Market,22.0574,78.9382,Shopkeeper attacked
theft,2024-08-25 13:00:00,Khandwa Old City,21.8274,76.3521,Bike theft reported
murder,2024-09-02 02:30:00,Hoshangabad Road Bhopal,23.0700,77.4900,Dispute turned fatal
robbery,2024-09-17 22:00:00,Dewas Industrial Area,22.9676,76.0534,Factory robbery at night
fraud,2024-10-05 10:00:00,Mandsaur City,24.0735,75.0686,Property fraud case filed
other,2024-10-20 15:30:00,Neemuch Town,24.4716,74.8647,Suspicious activity reported
